table,column
ack,request.context.standard_app_bundle_id
ack,request.context.standard_app_id
ack,request.context.standard_brand_id
ack,request.context.standard_channel_id
ack,request.context.standard_content_daypart_id
ack,request.context.standard_endpoint_id
ack,request.context.standard_endpoint_owner_id
ack,request.context.standard_genre_ids
ack,request.context.standard_iab_category_ids
ack,request.context.standard_language_ids
ack,request.context.standard_programmer_id
ack,request.context.standard_publisher_id
ack,request.context.standard_site_domain_id
ack,request.context.standard_ssp_channel_id
ack,request.context.station_id
ack,request.context.stream_id
ack,request.context.stream_mode_id
ack,request.context.tv_network_id
ack,request.context.video_cro_context_id
ack,request.context.video_cro_network_id
ack,request.context.video_cro_site_id
ack,request.context.video_random
ack,request.decision_info.external_bridge.slot_index
ack,request.decision_info.external_bridge.status
ack,request.decision_info.flag1
ack,request.delivery_method
ack,request.extra_flags
ack,request.extra_flags2
ack,request.extra_flags3
ack,request.flags
ack,request.global_currency_version
ack,request.hashed_key_value
ack,request.is_filtered
ack,request.is_ssp_bidder_request
ack,request.linear_capnedit
ack,request.log_sampling.magnifier
ack,request.magnifier
ack,request.mpe_matcher_filters.id
ack,request.mpe_matcher_filters.weight
ack,request.multiplier
ack,request.prebid_sivt
ack,request.prebid_sivt.capnedit
ack,request.prebid_sivt.capnedit.traffic_valid
ack,request.request_prefilter.flag
ack,request.request_throttling_info.exempt_thousandth
ack,request.request_throttling_info.flags
ack,request.request_throttling_info.level
ack,request.server_group
ack,request.server_pool
ack,request.timestamp
ack,request.traffic_type
ack,slot.ad_unit_default_duration
ack,slot.avail_type
ack,slot.avails
ack,slot.carriage_inventory_owner_id
ack,slot.carriage_listing_split_unit_id
ack,slot.flags
ack,slot.index
ack,slot.max_ads
ack,slot.max_duration
ack,slot.normalized_ad_unit_id
ack,slot.num_ads
ack,slot.parent_time_unfilled
ack,slot.sequence
ack,slot.time_position_class
ack,slot.time_unfilled
ack,slot.unfilled_avails
ack,visitor.active_state
ack,visitor.address
ack,visitor.app_bundle_id
ack,visitor.caller
ack,visitor.city_id
ack,visitor.cookie_user_id
ack,visitor.country
ack,visitor.country_id
ack,visitor.device_id
ack,visitor.dma_code
ack,visitor.dma_code_id
ack,visitor.filtration_reason
ack,visitor.internal_address
ack,visitor.operator_zone_id
ack,visitor.peer_address
ack,visitor.platform_group
ack,visitor.postal_code
ack,visitor.referrer
ack,visitor.standard_device_type_child_id
ack,visitor.standard_device_type_ids
ack,visitor.standard_environment_id
ack,visitor.standard_os_id
ack,visitor.state
ack,visitor.state_id
ack,visitor.syscode
ack,visitor.user_agent
ack,visitor.user_agent_device_type
ack,visitor.user_id
ad,advertisement.ad_id
ad,advertisement.ad_oo_network_id
ad,advertisement.ad_unit_id
ad,advertisement.advertiser_id
ad,advertisement.agency_id
ad,advertisement.bid_price_to_upstream
ad,advertisement.bit_flags
ad,advertisement.campaign_id
ad,advertisement.creative_id
ad,advertisement.duration
ad,advertisement.error
ad,advertisement.external_reseller
ad,advertisement.external_reseller.network_id
